[Cycles : Iteration : Population Size : Dimension] [  2 :  132 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4827954769134521]
[Cycles : Iteration : Population Size : Dimension] [  2 :  133 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4864574670791626]
[Cycles : Iteration : Population Size : Dimension] [  2 :  134 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4900585412979126]
[Cycles : Iteration : Population Size : Dimension] [  2 :  135 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4936084747314453]
[Cycles : Iteration : Population Size : Dimension] [  2 :  136 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4971774816513062]
[Cycles : Iteration : Population Size : Dimension] [  2 :  137 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5007843971252441]
[Cycles : Iteration : Population Size : Dimension] [  2 :  138 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5042734146118164]
[Cycles : Iteration : Population Size : Dimension] [  2 :  139 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5079759359359741]
[Cycles : Iteration : Population Size : Dimension] [  2 :  140 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5115385055541992]
[Cycles : Iteration : Population Size : Dimension] [  2 :  141 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5151884555816650]
[Cycles : Iteration : Population Size : Dimension] [  2 :  142 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5188335180282593]
[Cycles : Iteration : Population Size : Dimension] [  2 :  143 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5224344730377197]
[Cycles : Iteration : Population Size : Dimension] [  2 :  144 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5260125398635864]
[Cycles : Iteration : Population Size : Dimension] [  2 :  145 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5296654701232910]
[Cycles : Iteration : Population Size : Dimension] [  2 :  146 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5332254171371460]
[Cycles : Iteration : Population Size : Dimension] [  2 :  147 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5369158983230591]
[Cycles : Iteration : Population Size : Dimension] [  2 :  148 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5404814481735229]
[Cycles : Iteration : Population Size : Dimension] [  2 :  149 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5440105199813843]
[Cycles : Iteration : Population Size : Dimension] [  2 :  150 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5476464033126831]
[Cycles : Iteration : Population Size : Dimension] [  2 :  151 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5512249469757080]
[Cycles : Iteration : Population Size : Dimension] [  2 :  152 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5547989606857300]
[Cycles : Iteration : Population Size : Dimension] [  2 :  153 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5585620403289795]
