[Cycles : Iteration : Population Size : Dimension] [  2 :  155 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3264549970626831]
[Cycles : Iteration : Population Size : Dimension] [  2 :  156 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3270260095596313]
[Cycles : Iteration : Population Size : Dimension] [  2 :  157 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3280605077743530]
[Cycles : Iteration : Population Size : Dimension] [  2 :  158 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3296129703521729]
[Cycles : Iteration : Population Size : Dimension] [  2 :  159 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3306664228439331]
[Cycles : Iteration : Population Size : Dimension] [  2 :  160 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3312094211578369]
[Cycles : Iteration : Population Size : Dimension] [  2 :  161 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3322514295578003]
[Cycles : Iteration : Population Size : Dimension] [  2 :  162 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3338040113449097]
[Cycles : Iteration : Population Size : Dimension] [  2 :  163 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3348444700241089]
[Cycles : Iteration : Population Size : Dimension] [  2 :  164 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3349330425262451]
[Cycles : Iteration : Population Size : Dimension] [  2 :  165 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3414695262908936]
[Cycles : Iteration : Population Size : Dimension] [  2 :  166 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3430685997009277]
[Cycles : Iteration : Population Size : Dimension] [  2 :  167 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3445985317230225]
[Cycles : Iteration : Population Size : Dimension] [  2 :  168 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3458694219589233]
[Cycles : Iteration : Population Size : Dimension] [  2 :  169 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3528070449829102]
[Cycles : Iteration : Population Size : Dimension] [  2 :  170 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3543235063552856]
[Cycles : Iteration : Population Size : Dimension] [  2 :  171 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3562475442886353]
[Cycles : Iteration : Population Size : Dimension] [  2 :  172 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3564155101776123]
[Cycles : Iteration : Population Size : Dimension] [  2 :  173 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3593645095825195]
[Cycles : Iteration : Population Size : Dimension] [  2 :  174 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3608350753784180]
[Cycles : Iteration : Population Size : Dimension] [  2 :  175 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3623490333557129]
[Cycles : Iteration : Population Size : Dimension] [  2 :  176 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3633610010147095]
