[Cycles : Iteration : Population Size : Dimension] [  2 :  132 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1787425279617310]
[Cycles : Iteration : Population Size : Dimension] [  2 :  133 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1800069808959961]
[Cycles : Iteration : Population Size : Dimension] [  2 :  134 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1812535524368286]
[Cycles : Iteration : Population Size : Dimension] [  2 :  135 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1825770139694214]
[Cycles : Iteration : Population Size : Dimension] [  2 :  136 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1838399171829224]
[Cycles : Iteration : Population Size : Dimension] [  2 :  137 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1850910186767578]
[Cycles : Iteration : Population Size : Dimension] [  2 :  138 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1857349872589111]
[Cycles : Iteration : Population Size : Dimension] [  2 :  139 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1876834630966187]
[Cycles : Iteration : Population Size : Dimension] [  2 :  140 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1889640092849731]
[Cycles : Iteration : Population Size : Dimension] [  2 :  141 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1896574497222900]
[Cycles : Iteration : Population Size : Dimension] [  2 :  142 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1917779445648193]
[Cycles : Iteration : Population Size : Dimension] [  2 :  143 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1930924654006958]
[Cycles : Iteration : Population Size : Dimension] [  2 :  144 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1944019794464111]
[Cycles : Iteration : Population Size : Dimension] [  2 :  145 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1957069635391235]
[Cycles : Iteration : Population Size : Dimension] [  2 :  146 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1970080137252808]
[Cycles : Iteration : Population Size : Dimension] [  2 :  147 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1976634263992310]
