[Cycles : Iteration : Population Size : Dimension] [  2 :  176 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1215039491653442]
[Cycles : Iteration : Population Size : Dimension] [  2 :  177 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1222004890441895]
[Cycles : Iteration : Population Size : Dimension] [  2 :  178 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1228474378585815]
[Cycles : Iteration : Population Size : Dimension] [  2 :  179 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1234899759292603]
[Cycles : Iteration : Population Size : Dimension] [  2 :  180 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1241255998611450]
[Cycles : Iteration : Population Size : Dimension] [  2 :  181 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1247500181198120]
[Cycles : Iteration : Population Size : Dimension] [  2 :  182 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1254165172576904]
[Cycles : Iteration : Population Size : Dimension] [  2 :  183 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1260875463485718]
[Cycles : Iteration : Population Size : Dimension] [  2 :  184 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1264644861221313]
[Cycles : Iteration : Population Size : Dimension] [  2 :  185 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1274169683456421]
[Cycles : Iteration : Population Size : Dimension] [  2 :  186 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1280455589294434]
[Cycles : Iteration : Population Size : Dimension] [  2 :  187 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1286669969558716]
[Cycles : Iteration : Population Size : Dimension] [  2 :  188 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1293450593948364]
[Cycles : Iteration : Population Size : Dimension] [  2 :  189 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1300069093704224]
[Cycles : Iteration : Population Size : Dimension] [  2 :  190 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1306259632110596]
[Cycles : Iteration : Population Size : Dimension] [  2 :  191 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1312789916992188]
[Cycles : Iteration : Population Size : Dimension] [  2 :  192 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1318985223770142]
[Cycles : Iteration : Population Size : Dimension] [  2 :  193 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1325844526290894]
[Cycles : Iteration : Population Size : Dimension] [  2 :  194 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1332215070724487]
[Cycles : Iteration : Population Size : Dimension] [  2 :  195 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1341218948364258]
[Cycles : Iteration : Population Size : Dimension] [  2 :  196 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1344720125198364]
